#TYPE Selected.System.Management.ManagementObject
"Name","version","Vendor"
"64 Bit HP CIO Components Installer","13.2.1","Hewlett-Packard"
"ActivePerl 5.14.2 Build 1402 (64-bit)","5.14.1402","ActiveState"
"Adobe AIR","3.5.0.1060","Adobe Systems Incorporated"
"Adobe Reader XI (11.0.01)","11.0.01","Adobe Systems Incorporated"
"Boot Camp Services","4.0.4033","Apple Inc."
"Dragon NaturallySpeaking 10","10.10.0","Nuance Communications Inc."
"Dragon NaturallySpeaking 10 Client Update for Citrix","10.10.000.388","Nuance Communications Inc."
"IBM System i Access for Windows MRI","06.01.0000","IBM"
"IBM System i Access for Windows V6R1M0","06.01.0001","IBM"
"Intel? Trusted Connect Service Client","1.23.216.0","Intel Corporation"
"Internet Explorer","9","Microsoft Corporation"
"Java 7 Update 11","7.0.110","Oracle"
"Java Auto Updater","2.1.9.0","Sun Microsystems, Inc."
"JavaFX 2.1.1","2.1.1","Oracle Corporation"
"Lenovo System Update",,
"Lenovo System Update","5.00.0019","Lenovo"
"Microsoft .NET Framework 4 Client Profile","4.0.30319","Microsoft Corporation"
"Microsoft .NET Framework 4 Extended","4.0.30319","Microsoft Corporation"
"Microsoft Office File Validation Add-In","14.0.5130.5003","Microsoft Corporation"
"Microsoft Silverlight","5.1.10411.0","Microsoft Corporation"
"Microsoft Visual C++ 2005 Redistributable","8.0.56336","Microsoft Corporation"
"Microsoft Visual C++ 2005 Redistributable (x64)","8.0.61000","Microsoft Corporation"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022","9.0.21022","Microsoft Corporation"
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.30319","10.0.30319","Microsoft Corporation"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.30319","10.0.30319","Microsoft Corporation"
"MSXML 4.0 SP2 (KB954430)","4.20.9870.0","Microsoft Corporation"
"MSXML 4.0 SP2 (KB973688)","4.20.9876.0","Microsoft Corporation"
"Online Plug-in","13.4.0.25","Citrix Systems, Inc."
"Sentinel System Driver Installer 7.5.0","7.5.0","SafeNet, Inc."
"Sophos Anti-Virus","10.2.3","Sophos Limited"
"Sophos AutoUpdate","2.7.8.335","Sophos Limited"
"Sophos Remote Management System","3.4.1","Sophos Limited"
"Visual C++ Runtime for Dragon NaturallySpeaking 64bit (x64)","10.00.800.228","Nuance Communications Inc."
